,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Foul Won,1st Half,03:49,Video,79.9,41.8,79.9,41.8,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,03:49,Video,79.9,41.8,79.9,41.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,04:02,Video,81.1,52.2,69.5,71.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,FK,1st Half,04:02,Video,81.1,52.2,81.1,52.2,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,04:05,Video,66.2,68.8,60.1,68.1,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,04:10,Video,81,59.3,81,59.3,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,04:10,Video,81,59.3,104.4,46.2,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,04:14,Video,102.2,45.6,89.7,17.5,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,04:20,Video,81.2,14.1,66.1,24.7,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,04:22,Video,64.4,24.5,54.5,13.1,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,04:26,Video,61.5,11.8,61.5,11.8,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,04:26,Video,61.5,11.8,79.8,18,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,04:30,Video,79.5,20.9,51.2,66.5,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,04:36,Video,41.2,74.4,16.7,63.9,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Def Aerial,1st Half,04:54,Video,43.2,25.7,43.2,25.7,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,05:01,Video,50.3,15.5,50.3,15.5,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,05:01,Video,50.3,15.5,63.9,14,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,05:03,Video,66.9,14.7,58.4,4.9,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,05:07,Video,60.4,4.3,83,5.3,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,05:13,Video,85.4,10.8,74.2,16.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,05:14,Video,72.4,16.4,55.7,27.3,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,05:18,Video,49.3,31.3,28.8,38.2,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,05:20,Video,24.8,44.8,17.6,62.9,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,05:24,Video,18.8,57.6,18.8,57.6,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,05:24,Video,18.8,57.6,15.2,19.8,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Pass into Oppo Box,1st Half,05:24,Video,18.8,57.6,18.8,57.6,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Save Parried,1st Half,05:41,Video,110.9,39.7,110.9,39.7,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Goal Against,1st Half,06:29,Video,115.1,46.2,115.1,46.2,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,07:29,Video,54.3,41.3,68.4,29.4,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,07:30,Video,68.4,28,72.7,5.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,07:33,Video,73.2,7,89.4,24.3,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,07:36,Video,87.1,26.9,71,4.9,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,07:41,Video,58.5,5.3,58.5,5.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,07:41,Video,58.5,5.3,58.5,5.3,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,08:10,Video,23.2,26.4,4.6,60.3,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,08:10,Video,23.2,26.4,23.2,26.4,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,08:18,Video,-1.1,77.3,32.4,75.7,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,08:24,Video,35.3,68.2,41.1,49.5,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,08:28,Video,40.3,42.4,40.3,42.4,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Progr Inter,1st Half,08:39,Video,74,75,74,75,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,08:40,Video,46.8,70.9,46.8,70.9,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,08:40,Video,46.8,70.9,46.8,70.9,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Def Aerial,1st Half,09:10,Video,63.3,9.6,63.3,9.6,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,09:18,Video,103.3,9.8,103.3,9.8,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,09:18,Video,103.3,9.8,110.7,38.5,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,09:21,Video,112.1,43.4,91.1,75.3,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,09:25,Video,80.5,78.3,66.1,63.1,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,09:26,Video,63.6,65.2,47,78.6,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,09:30,Video,44.3,74.7,42.1,31,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,09:35,Video,34,32.3,15.8,17.3,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,09:39,Video,15.7,22.3,17.7,29.8,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,09:41,Video,19.5,24.6,15.3,12,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Cross,1st Half,09:45,Video,5.5,13.7,5.5,13.7,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,09:52,Video,30.3,24.3,30.3,24.3,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,09:52,Video,30.3,24.3,21.6,1.9,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,10:18,Video,54.8,11.3,43.9,27,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,10:18,Video,54.8,11.3,54.8,11.3,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,10:20,Video,47.3,32,63.9,42.7,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,10:26,Video,63.3,47.7,44.6,13.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,10:32,Video,38.2,11.7,23.4,21.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,10:34,Video,19.8,18.1,19.8,18.1,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,10:34,Video,19.8,18.1,29.6,14.5,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,10:40,Video,28.5,15.8,22.8,27.9,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,10:42,Video,23.3,31.6,29.9,18.1,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Side Back,1st Half,10:46,Video,29,18.9,41.8,29.6,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,10:56,Video,80.8,51,48.1,69.3,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,10:56,Video,80.8,51,80.8,51,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,11:01,Video,52.6,75.2,67.5,75.7,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,11:06,Video,66.1,75.2,44,78.5,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Foul Won,1st Half,12:02,Video,78.1,69.8,78.1,69.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,12:09,Video,84.9,71.3,83.5,57.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,FK,1st Half,12:09,Video,84.9,71.3,84.9,71.3,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,12:10,Video,83.7,56.6,93.3,26,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,12:14,Video,88.4,19.9,77.8,5.6,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,12:57,Video,71.5,27.2,71.5,27.2,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,12:57,Video,71.5,27.2,60.7,52.2,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:03,Video,68.3,69.1,67.5,54.1,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,13:03,Video,68.3,69.1,68.3,69.1,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,13:05,Video,65.6,51.1,68.7,49.8,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:07,Video,66.8,53.3,54.3,75.8,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,13:10,Video,44.6,75.7,44.6,75.7,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:10,Video,44.6,75.7,20.8,58.4,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Att 1v1,1st Half,13:10,Video,44.6,75.7,44.6,75.7,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:15,Video,17,48.8,13,28.9,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,13:18,Video,6.9,22.9,28.7,17.2,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:23,Video,27.1,18.4,11.7,15.4,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,13:26,Video,10.2,17.3,18,11.6,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,13:28,Video,22.4,10.3,50.2,17.3,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,13:33,Video,52.5,26.1,73.6,35.6,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:37,Video,72.4,37.2,62,10.9,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,13:41,Video,57.9,9.1,39.5,3.7,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,13:43,Video,41.1,3.4,41.1,3.4,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Def Aerial,1st Half,13:54,Video,64.7,14.3,64.7,14.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,13:56,Video,60.8,13.3,60.8,13.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Side Back,1st Half,13:56,Video,60.8,13.3,59.5,36.4,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Tackle,1st Half,13:57,Video,59.5,36.4,59.5,36.4,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,14:01,Video,59.5,53.7,50.9,38.3,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,14:01,Video,59.5,53.7,59.5,53.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,14:04,Video,53.3,30.1,43.3,17.4,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,14:07,Video,38.5,17.9,36.8,6.3,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,14:11,Video,39.4,7.5,36.8,16.3,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Side Back,1st Half,14:14,Video,37.2,16.3,62.7,12.6,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Clear,1st Half,14:44,Video,85.8,2.5,85.8,2.5,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Progr Inter,1st Half,14:44,Video,85.8,2.5,85.8,2.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Clear,1st Half,14:59,Video,97.1,18.8,97.1,18.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Inter,1st Half,14:59,Video,97.1,18.8,97.1,18.8,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Def Aerial,1st Half,15:31,Video,106.4,42.5,106.4,42.5,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,15:32,Video,111.7,49.4,111.7,49.4,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Save Held,1st Half,15:34,Video,113.8,46,113.8,46,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Throw,1st Half,15:34,Video,113.8,46,113.8,46,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,15:44,Video,77.2,79.2,55.3,74,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,15:47,Video,52.3,68.9,52.3,68.9,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,15:54,Video,68.4,64.6,66.2,58.2,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,15:54,Video,68.4,64.6,68.4,64.6,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,15:56,Video,63.2,54.6,68.8,51.9,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,15:57,Video,68.4,50.8,52,35.5,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Line Break,1st Half,15:57,Video,68.4,50.8,68.4,50.8,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,16:00,Video,40.9,33.7,40.9,33.7,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:00,Video,40.9,33.7,24.3,24.5,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:05,Video,23.3,15.1,38.4,12,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:07,Video,38.4,8.4,63.5,25.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:15,Video,56.3,16.9,40,15.6,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,16:17,Video,40.6,16.1,29.7,11.4,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,16:26,Video,72.7,51.7,72.7,51.7,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:26,Video,72.7,51.7,74,41,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:27,Video,75.6,41.7,85.9,35,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:29,Video,88.7,33.8,107.9,34.3,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:32,Video,105,34.7,99,17.2,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,16:38,Video,98,14.6,105.3,36,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:41,Video,105.4,40.6,69.4,36.9,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:49,Video,66.8,42.7,51.8,45.7,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:52,Video,47.6,39.1,42.2,40.1,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,16:53,Video,39.5,40.1,24.5,50.2,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,16:55,Video,16.2,56.5,16.2,56.5,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Att Shot Blockd,1st Half,17:10,Video,17.7,60.7,17.7,60.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Stand Tackle,1st Half,17:10,Video,17.7,60.7,17.7,60.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,17:10,Video,17.7,60.7,17.7,60.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,17:10,Video,17.7,60.7,17.7,60.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Att 1v1,1st Half,17:10,Video,17.7,60.7,17.7,60.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Short Corner,1st Half,17:48,Video,6.1,77.1,6.1,77.1,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Cross,1st Half,17:49,Video,4.8,70.2,4.8,70.2,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,17:57,Video,1.2,18.7,1.2,18.7,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Side Back,1st Half,17:57,Video,1.2,18.7,12.9,22.5,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,18:01,Video,21.6,37.2,21.6,37.2,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,18:01,Video,21.6,37.2,21.6,37.2,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Blocked Shot,1st Half,18:19,Video,98.2,52.2,98.2,52.2,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,18:22,Video,116.8,66.3,116.8,66.3,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,19:47,Video,98.7,46.1,98.7,46.1,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Headed Clear,1st Half,19:50,Video,103.5,66.2,103.5,66.2,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Ground GK,1st Half,20:46,Video,113.8,39.9,113.8,39.9,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,20:48,Video,106.6,22,80.6,68,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,21:07,Video,97.2,61.8,97.2,61.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,21:07,Video,97.2,61.8,63.1,23.1,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Throw,1st Half,21:23,Video,110.9,32.1,110.9,32.1,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,21:25,Video,80.5,34.3,75.9,18.2,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,21:27,Video,70.9,15,61,14.1,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,21:49,Video,86,12.6,109.5,32,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,21:53,Video,107.2,37.1,87.8,43.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,21:59,Video,96,38.4,108.3,41.2,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,22:02,Video,108.7,44.6,71.5,46.2,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,22:11,Video,76.2,39.9,75.5,39,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,22:23,Video,89.6,41.9,82.2,41.2,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Inter,1st Half,22:23,Video,89.6,41.9,89.6,41.9,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,22:24,Video,80.4,40.8,67.7,20.4,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,22:52,Video,100.4,39.8,83.4,32.9,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,22:52,Video,100.4,39.8,100.4,39.8,RL
Christian Kence,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,22:55,Video,81.5,33,73.4,9.7,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,23:00,Video,74.4,15.2,50.2,28.2,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,23:22,Video,50.9,62.7,32.7,39.8,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,23:27,Video,25.6,37.3,23.2,42.9,RL
Finn van Clief,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,23:28,Video,22.7,42.8,22.7,42.8,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,23:46,Video,77.8,10.2,71.6,11.7,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,23:46,Video,77.8,10.2,77.8,10.2,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,23:47,Video,72.7,12.9,82.4,21.8,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,23:50,Video,82.2,19.4,53.6,17,RL
Jonah Greenblatt,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,23:52,Video,49.6,16.7,52.9,6.2,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Dribble,1st Half,23:58,Video,34.1,4.8,34.1,4.8,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,23:58,Video,34.1,4.8,32.6,14.8,RL
Devin Smith,,Boston Bolts U16,2023-12-10,Miami,,Att 1v1,1st Half,23:58,Video,34.1,4.8,34.1,4.8,RL
